MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,RoomsPerBedroom,PopulationPerRoom,CoastalDistanceProxy
5.137984248902621,47,5.796408048981009,1.2209992281230018,2652,2.3606849335772226,41.97543148222087,-118.25726884932226,3.107263491531669,4.747265940447496,457.52472524190455,5.681328418527889
6.3594859128872825,21,4.6170976116996165,1.13597353463977,4742,3.096128746703235,36.87590477828093,-119.14591057989945,3.795123971248909,4.064441178344661,1027.0521437501957,1.8582376601991195
4.700340643167846,34,6.341621006013791,1.0933354178563623,2108,3.3561701681976155,36.953700730217584,-116.49872824409736,2.694050785459164,5.800252056635492,332.40712398312246,4.50150986257602
4.36150668075259,10,8.914353273889166,1.8163237635562617,1864,2.6798137520753147,39.733987622374386,-123.0290986010691,2.773608781298579,4.90790984115924,209.10097936771263,3.4046922698177733
6.745823788486689,8,5.0502459102519,1.4208599076896338,3921,3.6717679492479736,32.36189577620575,-119.71787912515114,3.500404225964719,3.5543587956280436,776.3978367945306,4.81205202886474
4.55347769490144,38,5.5851936585099375,1.1238391858263417,2682,3.1191668329938795,36.27021481900978,-119.0117540506794,3.504122628548555,4.969744540810997,480.19821047987176,2.1179490941433654
5.56405233699767,4,4.9645536827832855,1.0566530655216664,3612,3.6310765705218193,32.9982788181496,-115.68948689601622,2.507357510363905,4.69837626442914,727.5578492637023,6.649460267183616
5.302879454439409,23,4.914376118125679,0.9510427061525888,3509,3.1552832864390656,36.00926382656486,-115.85782339768701,3.0911579613783733,5.167355878272409,714.0275623303975,5.236748836322784
6.742928878047356,17,7.353339373742408,1.6918222785213,4213,3.301123657189782,41.83821841128875,-115.51734640150019,3.367367809364954,4.34640178646272,572.9369726962345,7.312171214931742
3.988741634535276,1,4.692434778727042,0.9286894020141829,1654,2.4940865945205157,39.53633280803361,-117.02127072132298,2.8407137868441366,5.052749356835429,352.4822566524185,4.718397056851982
7.849439458724783,28,4.931103431960366,1.057384753502188,452,2.4953826358470215,41.85045875685218,-118.69444192815162,4.06004194508637,4.663490196570309,91.66305396686981,5.37052587505071
3.4873395459161727,50,3.5950086115224384,0.8824523697473156,2440,3.9795171839430212,39.46048625670602,-115.72120678656617,1.9017876415400778,4.073884024530237,678.7188192483056,5.824057898890966
5.7399954642736875,4,4.590865930549303,0.9137526295323141,3273,3.508408355616266,38.08110071806588,-115.2671758474473,2.9982037337791176,5.02418902246995,712.9373955837524,5.833871058456305
5.418158500539887,42,3.449920128455983,0.8406017894766349,4103,2.181627867022079,39.542208329272434,-119.19515407341186,3.2517192933571586,4.104107523496863,1189.3028960749605,3.117738284100183
3.324793192720388,28,6.258165639054314,1.5311658580938383,1408,3.144690739723865,38.590916729709846,-114.14338092111228,1.36384967439783,4.087189905635147,224.98605521294033,7.038767025114393
5.972609970534523,37,8.859636666204771,2.229515897505387,3752,1.1009791571716594,36.64066029901908,-115.25181875020822,3.2499450147225875,3.973793896745858,423.493664735944,5.759402113167554
