MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
5.137984248902621,47,5.796408048981009,1.2209992281230018,2652,2.3606849335772226,41.97543148222087,-118.25726884932226,3.107263491531669
6.3594859128872825,21,4.6170976116996165,1.13597353463977,4742,3.096128746703235,36.87590477828093,-119.14591057989945,3.795123971248909
4.700340643167846,34,6.341621006013791,1.0933354178563623,2108,3.3561701681976155,36.953700730217584,-116.49872824409736,2.694050785459164
4.36150668075259,10,8.914353273889166,1.8163237635562617,1864,2.6798137520753147,39.733987622374386,-123.0290986010691,2.773608781298579
6.745823788486689,8,5.0502459102519,1.4208599076896338,3921,3.6717679492479736,32.36189577620575,-119.71787912515114,3.500404225964719
4.55347769490144,38,5.5851936585099375,1.1238391858263417,2682,3.1191668329938795,36.27021481900978,-119.0117540506794,3.504122628548555
5.56405233699767,4,4.9645536827832855,1.0566530655216664,3612,3.6310765705218193,32.9982788181496,-115.68948689601622,2.507357510363905
5.302879454439409,23,4.914376118125679,0.9510427061525888,3509,3.1552832864390656,36.00926382656486,-115.85782339768701,3.0911579613783733
6.742928878047356,17,7.353339373742408,1.6918222785213,4213,3.301123657189782,41.83821841128875,-115.51734640150019,3.367367809364954
3.988741634535276,1,4.692434778727042,0.9286894020141829,1654,2.4940865945205157,39.53633280803361,-117.02127072132298,2.8407137868441366
7.849439458724783,28,4.931103431960366,1.057384753502188,452,2.4953826358470215,41.85045875685218,-118.69444192815162,4.06004194508637
3.4873395459161727,50,3.5950086115224384,0.8824523697473156,2440,3.9795171839430212,39.46048625670602,-115.72120678656617,1.9017876415400778
5.7399954642736875,4,4.590865930549303,0.9137526295323141,3273,3.508408355616266,38.08110071806588,-115.2671758474473,2.9982037337791176
5.418158500539887,42,3.449920128455983,0.8406017894766349,4103,2.181627867022079,39.542208329272434,-119.19515407341186,3.2517192933571586
3.324793192720388,28,6.258165639054314,1.5311658580938383,1408,3.144690739723865,38.590916729709846,-114.14338092111228,1.36384967439783
